,char,dialog,movie,birth,death,gender,race
419,FRODO,It's dark still.,The Return of the King ,,,Other,Hobbits
420,SAM,"It's always dark here. , It's gone! , The elven bread!",The Return of the King ,,,Other,Hobbits
421,FRODO,What? That's all we have left!,The Return of the King ,,,Other,Hobbits
422,MADRIL,We can't hold them. The city is lost.,The Return of the King ,,,Other,Men
423,FARAMIR,Tell the men to break cover. We ride for Minas Tirith.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
424,DAMROD,Nazg'l!,The Return of the King ,"Late ,Third Age",TA 3019,Male,Men
425,FARAMIR,Take cover! Nazgul! Fall back. Fall back to Minas Tirith!,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
426,SAM,He took it. He must have.,The Return of the King ,,,Other,Hobbits
427,GOLLUM,"Smeagol? No, no, not poor Smeagol. Smeagol hates nasty elf bread.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
428,SAM,You're a lying rat! What did you do with it?,The Return of the King ,,,Other,Hobbits
429,FRODO,"He doesn't eat it. , He can't have taken it.",The Return of the King ,,,Other,Hobbits
430,GOLLUM,"Look, what's this? , Crumbs on his jacketses. He took it! ,He took it! , I've seen him, he's always stuffing his face when master's not looking.",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
431,SAM,"That's a filthy lie! , You stinking, two faced sneak!",The Return of the King ,,,Other,Hobbits
432,FRODO,Sam!,The Return of the King ,,,Other,Hobbits
433,SAM,Call me',The Return of the King ,,,Other,Hobbits
434,FRODO,Stop it!,The Return of the King ,,,Other,Hobbits
435,SAM,I'll kill him!,The Return of the King ,,,Other,Hobbits
436,FRODO,"Sam, no!",The Return of the King ,,,Other,Hobbits
437,SAM,"Oh my! I'm sorry. I didn't mean it to go so far. I was just so, so angry! Here just' let's just rest a bit.",The Return of the King ,,,Other,Hobbits
438,FRODO,I'm all right.,The Return of the King ,,,Other,Hobbits
439,SAM,"No. No you're not all right, you're exhausted. It's that Gollum. It's this place. It's that thing around your neck. , I could help a bit. I could carry it for a while ,, carry it for a while , I could carry it' I could carry it' Share the load' share the load' share the load",The Return of the King ,,,Other,Hobbits
440,FRODO,Get away!,The Return of the King ,,,Other,Hobbits
441,FARAMIR,"Fall back! , Retreat! Retreat! Run for your lives!",The Return of the King ,TA 2983,"February 26 ,82",Male,Men
442,GOTHMOG,The age of men is over. The time of the Orc has come.,The Return of the King ,"Before the creation of ,Arda",FA 510,Male,Uruk-hai/Orcs
443,SOLDIERS,"Keep going. It's the Nazgul. Take cover my lord. , It's coming.",The Return of the King ,,,Other,Men
444,SOLDIERS IN MINAS TIRITH,Its Mithrandir! The White Rider!,The Return of the King ,,,Other,Men
445,SOLDIER,Pull!,The Return of the King ,,,Other,Men
446,FARAMIR,"Mithrandir! , They broke through our defences. They've taken the bridge and the West bank. Battalions of Orcs are crossing the river.",The Return of the King ,TA 2983,"February 26 ,82",Male,Men
447,IROLAS,It is as the Lord Denethor predicted! Long has he foreseen this doom!,The Return of the King ,,,Other,Men
448,GANDALF,Foreseen and done nothing!,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
449,GANDALF,Faramir? This is not the first Halfling to have crossed your path.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
450,FARAMIR,No.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
451,PIPPIN,You've seen Frodo and Sam?,The Return of the King ,,,Other,Hobbits
452,GANDALF,Where? When?,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
453,SAM,"I don't want to keep it. , I just want to help.",The Return of the King ,,,Other,Hobbits
454,GOLLUM,See? See? He wants it for himself.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
455,SAM,"Shut up you! , Go away! Get out of here!",The Return of the King ,,,Other,Hobbits
456,FRODO,"No Sam! It's you! , I'm sorry Sam.",The Return of the King ,,,Other,Hobbits
457,SAM,But he's a liar! He's poisoned you against me.,The Return of the King ,,,Other,Hobbits
458,FRODO,You can't help me any more.,The Return of the King ,,,Other,Hobbits
459,SAM,You don't mean that.,The Return of the King ,,,Other,Hobbits
460,FRODO,Go home.,The Return of the King ,,,Other,Hobbits
461,GANDALF,"Faramir! Faramir! , Your father's will has turned to madness. Do not throw away your life so rashly.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
462,FARAMIR,"Where does my allegiance lie if not here? This is the city of the men of N'menor. I will gladly give my life to defend her beauty, her memory, her wisdom.",The Return of the King ,TA 2983,"February 26 ,82",Male,Men
463,GANDALF,"Your father loves you Faramir. , He will remember it before the end.",The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
464,DENETHOR,Can you sing Master Hobbit?,The Return of the King ,,,Other,Men
465,PIPPIN,"well, yes. At least well enough for my own people. But we have no songs for great halls and evil times.",The Return of the King ,,,Other,Hobbits
466,GANDALF,"Sauron's wrath will be terrible, his retribution swift.",The Two Towers ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
467,GANDALF,The battle for Helm's Deep is over. The battle for Middle-earth is about to begin.,The Two Towers ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
468,GANDALF,(looking back out to Mordor) All our hopes now lie with two little Hobbits...,The Two Towers ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
469,FARAMIR,"In Ithilien. Not two days ago. Gandalf, they're taking the road to the Morgul vale.",The Return of the King ,TA 2983,"February 26 ,82",Male,Men
470,GANDALF,And then the pass of Cirith Ungol.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
471,PIPPIN,What does that mean? What's wrong? He looks at Gandalf.,The Return of the King ,,,Other,Hobbits
472,GANDALF,Faramir tell me everything. Tell me all you know.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
473,DENETHOR,This is how you would serve your city? You would risk its utter ruin?,The Return of the King ,,,Other,Men
474,FARAMIR,I did what I judged to be right.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
475,DENETHOR,"What you judged to be right! You sent the Ring of power into Mordor in the hands of a witless Halfling! It should have been brought back to the citadel to be kept safe. Hidden. Dark and deep in the vaults' not to be used. , unless, at the uttermost end of need.",The Return of the King ,,,Other,Men
476,FARAMIR,I would not use the Ring. Not if Minas Tirith were falling in ruin and I alone could save her.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
477,DENETHOR,Ever you desire to appear lordly and gracious as a King of old. Boromir would have remembered his father's need. He would have brought me a kingly gift,The Return of the King ,,,Other,Men
478,FARAMIR,Boromir would not have brought the Ring. He would have stretched out his hand to this thing and taking it he would have fallen.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
479,DENETHOR,"And why should your songs be unfit for my halls? Come, sing me a song.",The Return of the King ,,,Other,Men
480,PIPPIN,"Home is behind, The world ahead, , And there are many paths to tread, Through shadow, to the edge of night , Until the stars are all alight. , Mist and shadow cloud and shade, All shall fade, All shall , 'fade.",The Return of the King ,,,Other,Hobbits
481,ORCS,"March, march! March, march march!",The Return of the King ,,,Other,Uruk-hai/Orcs
482,GANDALF,...somewhere in the wilderness.,The Two Towers ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
483,SAM,I wonder if we'll ever be put into songs or tales.,The Two Towers ,,,Other,Hobbits
484,FRODO,What?,The Two Towers ,,,Other,Hobbits
485,SAM,"I wonder if people will ever say, ""Let's hear about Frodo and the Ring."" And they'll say, ""Yes! That's one of my favourite stories."" ""Frodo was really courageous, wasn't he, Dad? "" ""Yes, my boy. ,The most famousest of Hobbits. And that's saying a lot."",",The Two Towers ,,,Other,Hobbits
486,FRODO,"Well, you've left out one of the chief characters: ""Samwise the Brave."" I want to hear more about Sam.",The Two Towers ,,,Other,Hobbits
487,FRODO,Frodo wouldn't have got far without Sam.,The Two Towers ,,,Other,Hobbits
488,SAM,"Now, Mr. Frodo, you shouldn't make fun. I was being serious.",The Two Towers ,,,Other,Hobbits
489,FRODO,"So was l. ,",The Two Towers ,,,Other,Hobbits
490,SAM,"""Samwise the Brave.""",The Two Towers ,,,Other,Hobbits
491,FRODO,Smeagol?,The Two Towers ,,,Other,Hobbits
492,SAM,"We're not going to wait for you. Come on.,",The Two Towers ,,,Other,Hobbits
493,SMEAGOL,"Master. Master looks after us. ,Master wouldn't hurt us.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
494,GOLLUM,Master broke his promise.,The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
495,SMEAGOL,"Don't ask Smeagol. Poor, poor Smeagol.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
496,GOLLUM,"Master betrayed us. Wicked. Tricksy. False. ,We ought to wring his filthy little neck.,Kill him! Kill him! Kill them both! ,And then we take the precious......and we be the master!",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
497,DENETHOR,You know nothing of this matter!,The Return of the King ,,,Other,Men
498,FARAMIR,He would have kept it for his own. And when he returned you would not have known your son.,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
499,DENETHOR,Boromir was loyal to me! Not some wizard's pupil.,The Return of the King ,,,Other,Men
500,FARAMIR,Father?,The Return of the King ,TA 2983,"February 26 ,82",Male,Men
501,DENETHOR,"My son! , Leave me!",The Return of the King ,,,Other,Men
502,GOLLUM,Careful master! Careful. Very far to fall. Very dangerous are the stairs.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
503,GOLLUM,Come master.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
504,GOLLUM,Come to Smeagol.,The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
505,SAM,"Mr Frodo! , Get back you! Don't touch him.",The Return of the King ,,,Other,Hobbits
506,GOLLUM,"Why does he hates poor Smeagol? What has Smeagol ever done to him? Master? ,Master carries a heavy burden Smeagol knows, heavy heavy burden. Fat one cannot know. , He wants it. He needs it. Smeagol sees it in his eye. , Very soon he will ask you for it. You will see. The fat one will take it from you!",The Return of the King ,TA 2430,"March 25 ,3019",Male,Hobbits
507,WITCH KING,Send forth all legions. Do not stop the attack until the city is taken.,The Return of the King ,,,Other,Wraith/Undead
508,SMEAGOL,"But the fat Hobbit, he knows. Eyes always watching.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
509,GOLLUM,Then we stabs them out. Put out his eyeses and make him crawl.,The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
510,SMEAGOL,Yes. Yes. Yes.,The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
511,GOLLUM,Kill them both.,The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
512,SMEAGOL,"Yes. , No! No! ,It's too risky. It's too risky.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
513,SAM,"Where is he? Where has he gone? Hey, Gollum! Where are you?",The Two Towers ,,,Other,Hobbits
514,FRODO,Smeagol?,The Two Towers ,,,Other,Hobbits
515,GOLLUM,"We could let , do it.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
516,SMEAGOL,Yes. She could do it.,The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
517,GOLLUM,"Yes, precious, she could. And then we takes it once they're dead.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
518,SMEAGOL,"Once they're dead. ,Ssssssssssssssh!",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
519,SMEAGOL,"Come on, Hobbits. Long ways to go yet. , Smeagol will show you the way.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
520,EOMER,Stay out of the forest! Keep away from the trees!,The Two Towers ,TA 2990,FO 63,Male,Men
521,LEGOLAS,Final count.....42.,The Two Towers ,,"Still alive, departed to ,Aman ,FO 120",Male,Elves
522,GIMLI,"Forty-two? That's not bad for a pointy-eared Elvish princeling. I myself am sitting pretty on 43.,",The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
523,LEGOLAS,Forty-three.,The Two Towers ,,"Still alive, departed to ,Aman ,FO 120",Male,Elves
524,GIMLI,He was already dead.,The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
525,WITCH KING,Slay them all!,The Return of the King ,,,Other,Wraith/Undead
526,GOTHMOG,What of the wizard?,The Return of the King ,"Before the creation of ,Arda",FA 510,Male,Uruk-hai/Orcs
527,WITCH KING,I will break him.,The Return of the King ,,,Other,Wraith/Undead
528,SOLDIER 1,Where are Theoden's riders?,The Return of the King ,,,Other,Men
529,SOLDIER 2,Will Rohan's army come? Mithrandir?,The Return of the King ,,,Other,Men
530,GANDALF,Courage is the best defence that you have now.,The Return of the King ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
531,GOLLUM,Follow me.,The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
532,LEGOLAS,He was twitching.,The Two Towers ,,"Still alive, departed to ,Aman ,FO 120",Male,Elves
533,GIMLI,"He was twitching......because he's got my axe ,embedded in his nervous system!",The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
534,MERRY,"He doesn't look too happy, does he?",The Two Towers ,,,Other,Hobbits
535,PIPPIN,"Not too happy at all, Merry.",The Two Towers ,,,Other,Hobbits
536,MERRY,"Still, I suppose the view would be quite nice from up there.",The Two Towers ,,,Other,Hobbits
537,PIPPIN,"Oh, yes. It's a quality establishment. I hear the staff are very good.",The Two Towers ,,,Other,Hobbits
538,PIPPIN,What are you doing?,The Two Towers ,,,Other,Hobbits
539,MERRY,"Nothing. The world's back to normal, that's all.",The Two Towers ,,,Other,Hobbits
540,PIPPIN,"No, it isn't. I'm starving.",The Two Towers ,,,Other,Hobbits
541,MERRY,"Good luck trying to find something decent around here. ,Probably only dead rats and mouldy bread.,",The Two Towers ,,,Other,Hobbits
542,MERRY,Saruman's storeroom!,The Two Towers ,,,Other,Hobbits
543,PIPPIN,I don't believe it.,The Two Towers ,,,Other,Hobbits
544,MERRY,It can't be.,The Two Towers ,,,Other,Hobbits
545,PIPPIN,lt is!,The Two Towers ,,,Other,Hobbits
546,MERRY,"Longbottom Leaf. ,The finest pipe-weed in South Farthing.",The Two Towers ,,,Other,Hobbits
547,PIPPIN,"It's perfect. One barrel each.,Wait. Do you think we should share it with Treebeard?",The Two Towers ,,,Other,Hobbits
548,MERRY,"Share it? ,No. No. ,Dead plant and all that. Don't think he'd understand. ,Could be a distant relative.",The Two Towers ,,,Other,Hobbits
549,PIPPIN,I get it. Don't be hasty.,The Two Towers ,,,Other,Hobbits
550,MERRY,"Exactly. , Bar-hrum.",The Two Towers ,,,Other,Hobbits
551,FARAMIR,This is the old sewer. Runs right under the river through to the edge of the city. You'll find cover in the woods there.,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
552,SAM,"Captain Faramir......you have shown your quality, sir.",The Two Towers ,,,Other,Hobbits
553,SAM,The very highest.,The Two Towers ,,,Other,Hobbits
554,FARAMIR,The Shire must truly be a great realm Master Gamgee......where gardeners are held in high honor.,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
555,FARAMIR,What road will you take once you reach the woods?,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
556,FRODO,"Gollum says there's a path......near Minas Morgul that climbs up into the mountains.,",The Two Towers ,,,Other,Hobbits
557,FARAMIR,"Cirith Ungol?,",The Two Towers ,TA 2983,"February 26 ,82",Male,Men
558,FARAMIR,ls that its name?,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
559,GOLLUM,"No. ,No! , Yes.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
560,FARAMIR,Frodo......they say a dark terror dwells in the passes above Minas Morgul. You cannot go that way.,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
561,GOLLUM,"lt is the only way. Master says we must go to Mordor, so we must try.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
562,FRODO,I must.,The Two Towers ,,,Other,Hobbits
563,FARAMIR,"Go, Frodo. Go with the goodwill of all Men.,",The Two Towers ,TA 2983,"February 26 ,82",Male,Men
564,FRODO,Thank you.,The Two Towers ,,,Other,Hobbits
565,FARAMIR,May death find you quickly if you bring them to harm.,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
566,SAM,"Come on, keep up.",The Two Towers ,,,Other,Hobbits
567,SAM,"Mr. Frodo didn't mean for them Rangers to hurt you. You know that, don't you? He was trying to save you, see?",The Two Towers ,,,Other,Hobbits
568,GOLLUM,Save me?,The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
569,SAM,So there's no hard feelings. Forgive and forget.,The Two Towers ,,,Other,Hobbits
570,GOLLUM,"No, no, no hard feelings. Gollum, Gollum. ,Yes, master. Nice Hobbits.",The Two Towers ,TA 2430,"March 25 ,3019",Male,Hobbits
571,SAM,"Very decent of you. Very decent, indeed Gollum.",The Two Towers ,,,Other,Hobbits
572,MADRIL,Faramir! Orcs have taken the eastern shore. Their numbers are too great. By nightfall we will be overrun.,The Two Towers ,,,Other,Men
573,SAM,Mr. Frodo?,The Two Towers ,,,Other,Hobbits
574,FRODO,"It's calling to him, Sam. His Eye is almost on me.",The Two Towers ,,,Other,Hobbits
575,SAM,"Hold on, Mr. Frodo. You'll be all right.",The Two Towers ,,,Other,Hobbits
576,FARAMIR,"Take them to my father. ,Tell him Faramir sends a mighty gift. ,A weapon that will change our fortunes in this war. ,",The Two Towers ,TA 2983,"February 26 ,82",Male,Men
577,SAM,"Do you want to know what happened to Boromir? ,You want to know why your brother died? He tried to take the Ring from Frodo after swearing an oath to protect him! ,He tried to kill him! The Ring drove your brother mad!",The Two Towers ,,,Other,Hobbits
578,SOLDIER,Watch out!,The Two Towers ,,,Other,Men
579,SAM,Mr. Frodo?,The Two Towers ,,,Other,Hobbits
580,FRODO,They're here.,The Two Towers ,,,Other,Hobbits
581,FRODO,They've come.,The Two Towers ,,,Other,Hobbits
582,FARAMIR,Nazgul!,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
583,FARAMIR,"Stay here. Keep out of sight. ,Take cover!",The Two Towers ,TA 2983,"February 26 ,82",Male,Men
584,THEODEN,"The fortress is taken. It is over.,",The Two Towers ,,,Other,Men
585,ARAGORN,You said this fortress would never fall while your men defend it. They still defend it. They have died defending it.,The Two Towers ,,,Other,Men
586,WOMAN,They are breaking in!,The Two Towers ,,,Other,Men
587,WOMAN,They're past the door!,The Two Towers ,,,Other,Men
588,ARAGORN,Is there no other way for the women and children to get out of the caves?,The Two Towers ,,,Other,Men
589,ARAGORN,Is there no other way?,The Two Towers ,,,Other,Men
590,GAMLING,There is one passage. It leads into the mountains. But they will not get far. The Uruk-hai are too many.,The Two Towers ,"Possibly late ,Third Age",,Male,Men
591,ARAGORN,Tell the women and children to make for the mountain pass. And barricade the entrance!,The Two Towers ,,,Other,Men
592,THEODEN,"Aragorn! Fall back to the Keep! Get your men out of there!,",The Two Towers ,,,Other,Men
593,ARAGORN,"Nan Barad! Nan Barad! , Haldir, nan Barad! (",The Two Towers ,,,Other,Men
594,GIMLI,What are you doing? What are you stopping for?,The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
595,HALDIR,Nan Barad! (To the Keep!),The Two Towers ,,,Other,Elves
596,ARAGORN,Haldir!,The Two Towers ,,,Other,Men
597,THEODEN,"So much death. , What can Men do against such reckless hate?",The Two Towers ,,,Other,Men
598,ARAGORN,"Ride out with me. ,Ride out and meet them.,",The Two Towers ,,,Other,Men
599,THEODEN,For death and glory.,The Two Towers ,,,Other,Men
600,ARAGORN,For Rohan. For your people.,The Two Towers ,,,Other,Men
601,GIMLI,The sun is rising.,The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
602,GANDALF,Look to my coming at first light on the fifth day. At dawn......Iook to the east.,The Two Towers ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
603,THEODEN,Yes.........Yes.........The horn of Helm Hammerhand......shall sound in the Deep......one last time.,The Two Towers ,,,Other,Men
604,GIMLI,"Yes!,",The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
605,THEODEN,"Let this be the hour when we draw swords together. ,",The Two Towers ,,,Other,Men
606,THEODEN,"Fell deeds, awake. Now for wrath......now for ruin and a red dawn.,",The Two Towers ,,,Other,Men
607,THEODEN,"Forth Eorlingas!,",The Two Towers ,,,Other,Men
608,ARAGORN,Gandalf.,The Two Towers ,,,Other,Men
609,GANDALF,"Theoden King stands alone.,",The Two Towers ,Before the the Shaping of Arda,"January 253019 ,Battle of the Peak immortal",Male,Maiar
610,SOLDIER,Brace the gate!,The Two Towers ,,,Other,Men
611,SOLDIER,Hold them!,The Two Towers ,,,Other,Men
612,THEODEN,To the gate. Draw your swords!,The Two Towers ,,,Other,Men
613,GAMLING,"Make way! ( ,We cannot hold much longer!",The Two Towers ,"Possibly late ,Third Age",,Male,Men
614,THEODEN,Hold them!,The Two Towers ,,,Other,Men
615,ARAGORN,How long do you need?,The Two Towers ,,,Other,Men
616,THEODEN,As long as you can give me.,The Two Towers ,,,Other,Men
617,ARAGORN,Gimli!,The Two Towers ,,,Other,Men
618,THEODEN,Timbers! Brace the gate!,The Two Towers ,,,Other,Men
619,GIMLI,Come on. We can take them.,The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
620,ARAGORN,It's a long way.,The Two Towers ,,,Other,Men
621,GIMLI,Toss me.,The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
622,EOMER,"Not alone. , Rohirrim!",The Two Towers ,TA 2990,FO 63,Male,Men
623,THEODEN,"Eomer.,",The Two Towers ,,,Other,Men
624,EOMER,To the king!,The Two Towers ,TA 2990,FO 63,Male,Men
625,PIPPIN,Yes!,The Two Towers ,,,Other,Hobbits
626,TREEBEARD,A hit. A fine hit.,The Two Towers ,YT,,Male,Ents
627,TREEBEARD,Break the dam! Release the river!,The Two Towers ,YT,,Male,Ents
628,MERRY,Pippin! Hold on!,The Two Towers ,,,Other,Hobbits
629,TREEBEARD,"Hold on, little Hobbits.",The Two Towers ,YT,,Male,Ents
630,SAM,What are you doing?,The Two Towers ,,,Other,Hobbits
631,SAM,Where are you going?,The Two Towers ,,,Other,Hobbits
632,SAM,It's me. It's your Sam. Don't you know your Sam?,The Two Towers ,,,Other,Hobbits
633,ARAGORN,What?,The Two Towers ,,,Other,Men
634,GIMLI,I cannot jump the distance! You'll have to toss me!,The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
635,GIMLI,Don't tell the Elf.,The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
636,ARAGORN,Not a word.,The Two Towers ,,,Other,Men
637,THEODEN,Shore up the door!,The Two Towers ,,,Other,Men
638,SOLDIER,Make way!,The Two Towers ,,,Other,Men
639,SOLDIER,Follow me to the barricade.,The Two Towers ,,,Other,Men
640,SOLDIER,Watch our backs!,The Two Towers ,,,Other,Men
641,SOLDIER,Throw another one over here!,The Two Towers ,,,Other,Men
642,THEODEN,Higher!,The Two Towers ,,,Other,Men
643,SOLDIER,Hold fast the gate!,The Two Towers ,,,Other,Men
644,THEODEN,Gimli! Aragorn! Get out of there!,The Two Towers ,,,Other,Men
645,LEGOLAS,Aragorn!,The Two Towers ,,"Still alive, departed to ,Aman ,FO 120",Male,Elves
646,THEODEN,Pull everybody back. Pull them back.,The Two Towers ,,,Other,Men
647,GAMLING,Fall back! Fall back!,The Two Towers ,"Possibly late ,Third Age",,Male,Men
648,FRODO,"I can't do this, Sam.",The Two Towers ,,,Other,Hobbits
649,SAM,"I know. It's all wrong. ,By rights, we shouldn't even be here. But we are. It's like in the great stories, Mr. Frodo. The ones that really mattered. ,Full of darkness and danger they were. And sometimes you didn't want to know the end.....because how could the end be happy? How could the world go back to the way it was...... when so much bad had happened?",The Two Towers ,,,Other,Hobbits
650,THEODEN,Victory! We have victory!,The Two Towers ,,,Other,Men
651,SAM,"But in the end, it's only a passing thing...... this shadow. Even darkness must pass. A new day will come. And when the sun shines, it will shine out the clearer. Those were the stories that stayed with you......that meant something. Even if you were too small to understand why. But I think, Mr. Frodo, I do understand. I know now.",The Two Towers ,,,Other,Hobbits
652,SAM,"Folk in those stories......had lots of chances of turning back, only they didn't. They kept going......because they were holding on to something.",The Two Towers ,,,Other,Hobbits
653,FRODO,"What are we holding on to, Sam?",The Two Towers ,,,Other,Hobbits
654,SAM,"That there's some good in this world, Mr. Frodo. And it's worth fighting for.",The Two Towers ,,,Other,Hobbits
655,FARAMIR,"I think at last we understand one another, Frodo Baggins. ,",The Two Towers ,TA 2983,"February 26 ,82",Male,Men
656,MADRIL,"You know the laws of our country, the laws of your father. If you let them go your life will be forfeit.",The Two Towers ,,,Other,Men
657,FARAMIR,"Then it is forfeit. Release them.,",The Two Towers ,TA 2983,"February 26 ,82",Male,Men
658,THEODEN,They have broken through! The castle is breached. Retreat!,The Two Towers ,,,Other,Men
659,GAMLING,Fall back!,The Two Towers ,"Possibly late ,Third Age",,Male,Men
660,THEODEN,Retreat!,The Two Towers ,,,Other,Men
661,ARAGORN,Hurry! Inside. Get them inside!,The Two Towers ,,,Other,Men
662,GAMLING,Into the Keep!,The Two Towers ,"Possibly late ,Third Age",,Male,Men
663,TREEBEARD,I will leave you at the western borders of the forest. You can make your way north to your homeland from there.,The Two Towers ,YT,,Male,Ents
664,PIPPIN,Wait! Stop! Stop! Turn around. Turn around. Take us south.,The Two Towers ,,,Other,Hobbits
665,TREEBEARD,South? But that will lead you past lsengard.,The Two Towers ,YT,,Male,Ents
666,PIPPIN,"Yes. Exactly.,If we go south, we can slip past Saruman unnoticed. The closer we are to danger, the farther we are from harm. It's the last thing he'll expect.",The Two Towers ,,,Other,Hobbits
667,TREEBEARD,"That doesn't make sense to me. But then......you are very small. ,Perhaps you're right. South it is, then. Hold on, little Shirelings. ,I always like going south. Somehow it feels like going downhill.,",The Two Towers ,YT,,Male,Ents
668,MERRY,Are you mad? We'll be caught.,The Two Towers ,,,Other,Hobbits
669,PIPPIN,"No, we won't. Not this time.",The Two Towers ,,,Other,Hobbits
670,SOLDIER,Look! Osgiliath burns!,The Two Towers ,,,Other,Men
671,SOLDIER,Mordor has come.,The Two Towers ,,,Other,Men
672,FRODO,"The Ring will not save Gondor. , It has only the power to destroy. Please......Iet me go.",The Two Towers ,,,Other,Hobbits
673,FARAMIR,Hurry.,The Two Towers ,TA 2983,"February 26 ,82",Male,Men
674,FRODO,Faramir! You must let me go!,The Two Towers ,,,Other,Hobbits
675,TREEBEARD,"And those little family of field mice......that climb up sometimes, and they tickle me awfully.",The Two Towers ,YT,,Male,Ents
676,TREEBEARD,They're always trying to get somewhere where they....,The Two Towers ,YT,,Male,Ents
677,TREEBEARD,Many of these trees were my friends. Creatures I had known from nut and acorn.,The Two Towers ,YT,,Male,Ents
678,PIPPIN,"I'm sorry, Treebeard.",The Two Towers ,,,Other,Hobbits
679,TREEBEARD,They had voices of their own.,The Two Towers ,YT,,Male,Ents
680,TREEBEARD,Saruman. A wizard should know better!,The Two Towers ,YT,,Male,Ents
681,TREEBEARD,There is no curse in Elvish......Entish or the tongues of Men......for this treachery.,The Two Towers ,YT,,Male,Ents
682,GIMLI,"You could have picked a better spot.,",The Two Towers ,TA 2879,"Unknown (Departed to ,Aman ,FO 120,)",Male,Dwarves
